transmission,mileage,tax,mpg,fuel type,engine size,price_cad,car_age
Semi-Auto,4977.0,145.0,57.7,Diesel,2.0,56116.32,7.0
Semi-Auto,24756.0,30.0,64.2,Diesel,2.1,35876.32,10.0
Semi-Auto,41416.0,30.0,64.2,Diesel,2.1,28148.32,12.0
Semi-Auto,3814.0,145.0,44.1,Petrol,1.5,62556.32,7.0
Semi-Auto,17.0,145.0,46.3,Petrol,1.5,60716.32,7.0
Semi-Auto,37080.0,20.0,64.2,Diesel,2.1,30356.32,10.0
Semi-Auto,73582.0,30.0,61.4,Diesel,2.1,28516.32,10.0
Semi-Auto,23772.0,20.0,64.2,Diesel,2.1,28516.32,12.0
Semi-Auto,28808.0,145.0,61.4,Diesel,2.1,34956.32,9.0
Semi-Auto,10000.0,145.0,61.4,Diesel,2.0,45070.8,7.0
Semi-Auto,26413.0,20.0,64.2,Diesel,2.1,34941.6,10.0
Manual,98000.0,20.0,68.9,Diesel,2.1,20230.8,12.0
Semi-Auto,39920.0,30.0,64.2,Diesel,2.1,28884.32,12.0
Semi-Auto,10455.0,145.0,46.3,Petrol,1.5,41396.32,7.0
Semi-Auto,27644.0,30.0,64.2,Diesel,2.1,35508.32,10.0
Semi-Auto,63916.0,145.0,134.5,Hybrid,2.0,30356.32,9.0
Semi-Auto,15383.0,145.0,46.3,Petrol,1.5,36796.32,8.0
Semi-Auto,21929.0,145.0,64.2,Diesel,2.1,38060.4,8.0
Semi-Auto,16900.0,145.0,61.4,Diesel,2.1,37699.76,8.0
Manual,34015.0,145.0,70.6,Diesel,2.1,25392.0,9.0
Semi-Auto,2000.0,145.0,42.2,Petrol,2.0,58876.32,7.0
Semi-Auto,28000.0,145.0,44.1,Petrol,2.0,55196.32,7.0
Semi-Auto,22400.0,145.0,44.1,Petrol,1.5,45996.32,7.0
Semi-Auto,2878.0,145.0,42.2,Petrol,2.0,60716.32,7.0
Semi-Auto,4500.0,145.0,42.2,Petrol,2.0,60716.32,7.0
Semi-Auto,836.0,145.0,43.5,Petrol,2.0,55196.32,7.0
Semi-Auto,14462.0,20.0,67.3,Diesel,2.1,44156.32,9.0
Semi-Auto,23429.0,0.0,122.8,Hybrid,2.0,38636.32,10.0
Automatic,20764.0,150.0,58.9,Diesel,2.1,30356.32,9.0
Semi-Auto,31706.0,145.0,53.3,Diesel,2.1,22076.32,13.0
Automatic,55000.0,30.0,64.2,Diesel,2.1,22990.8,11.0
Automatic,10059.0,145.0,46.3,Petrol,1.5,35508.32,7.0
Semi-Auto,10357.0,145.0,61.4,Diesel,2.0,44156.32,7.0
Semi-Auto,50374.0,20.0,65.7,Diesel,2.1,22990.8,11.0
Semi-Auto,42471.0,0.0,76.4,Hybrid,2.1,32196.32,11.0
Manual,41974.0,20.0,68.9,Diesel,2.1,29804.32,10.0
Semi-Auto,20618.0,30.0,64.2,Diesel,2.1,34036.32,9.0
Semi-Auto,15536.0,145.0,47.1,Petrol,1.5,45996.32,7.0
Semi-Auto,16103.0,145.0,47.1,Petrol,1.5,45996.32,7.0
Semi-Auto,14576.0,145.0,46.3,Petrol,1.5,40476.32,7.0
Semi-Auto,6198.0,145.0,54.3,Diesel,2.0,54276.32,8.0
Semi-Auto,6265.0,145.0,54.3,Diesel,2.0,54276.32,8.0
Semi-Auto,21786.0,20.0,65.7,Diesel,2.1,31276.32,10.0
Semi-Auto,1558.0,145.0,44.1,Petrol,1.5,62556.32,7.0
Semi-Auto,2258.0,145.0,46.3,Petrol,1.5,60716.32,7.0
Semi-Auto,26866.0,30.0,64.2,Diesel,2.1,34956.32,9.0
Semi-Auto,1887.0,145.0,46.3,Petrol,1.5,59796.32,7.0
Semi-Auto,9676.0,145.0,65.7,Diesel,2.1,47468.32,9.0
Semi-Auto,7894.0,145.0,60.1,Diesel,2.1,37716.32,8.0
Semi-Auto,26179.0,145.0,60.1,Diesel,2.1,34036.32,9.0
Manual,21945.0,125.0,53.3,Petrol,2.0,26676.32,10.0
Semi-Auto,2195.0,145.0,61.4,Diesel,2.0,54276.32,7.0
Semi-Auto,16291.0,145.0,50.4,Petrol,2.0,33116.32,9.0
Manual,38438.0,20.0,70.6,Diesel,2.1,24836.32,11.0
Automatic,25107.0,0.0,134.5,Hybrid,2.0,36244.32,10.0
Semi-Auto,20491.0,135.0,74.3,Hybrid,2.1,41396.32,9.0
Manual,52792.0,20.0,72.4,Diesel,1.6,22076.32,11.0
Semi-Auto,30035.0,160.0,44.8,Petrol,1.6,22076.32,13.0
Semi-Auto,3620.0,145.0,217.3,Hybrid,2.0,73596.32,6.0
Semi-Auto,19204.0,150.0,61.4,Diesel,2.0,43236.32,7.0
Semi-Auto,10.0,145.0,28.5,Petrol,4.0,106716.32,7.0
Semi-Auto,46155.0,30.0,64.2,Diesel,2.1,30019.600000000002,11.0
Semi-Auto,49494.0,30.0,64.2,Diesel,2.1,25743.440000000002,10.0
Semi-Auto,43014.0,30.0,64.2,Diesel,2.1,31276.32,10.0
Semi-Auto,38830.0,20.0,64.2,Diesel,2.1,31276.32,10.0
Manual,49761.0,20.0,68.9,Diesel,2.1,25189.600000000002,10.0
Semi-Auto,31801.0,20.0,64.2,Diesel,2.1,26661.600000000002,12.0
Semi-Auto,22349.0,145.0,50.4,Petrol,2.0,33116.32,9.0
Semi-Auto,8520.0,145.0,61.4,Diesel,2.0,55196.32,7.0
Semi-Auto,27493.0,0.0,78.5,Hybrid,2.1,34956.32,9.0
Semi-Auto,15075.0,145.0,50.4,Petrol,2.0,34956.32,8.0
Semi-Auto,5116.0,145.0,61.4,Diesel,2.0,53356.32,7.0
Semi-Auto,15009.0,145.0,47.1,Petrol,1.5,45996.32,7.0
Semi-Auto,6787.0,145.0,57.7,Diesel,2.0,51516.32,8.0
Semi-Auto,32409.0,30.0,64.2,Diesel,2.1,30908.32,11.0
Semi-Auto,23690.0,125.0,58.9,Diesel,2.1,36796.32,9.0
Semi-Auto,101.0,145.0,48.7,Diesel,2.0,55108.0,6.0
Semi-Auto,22485.0,0.0,74.3,Hybrid,2.1,38253.6,9.0
Semi-Auto,41921.0,145.0,47.9,Petrol,1.6,17461.600000000002,13.0
Semi-Auto,35488.0,20.0,65.7,Diesel,2.1,28869.600000000002,9.0
Manual,41647.0,20.0,65.7,Diesel,2.1,27581.600000000002,9.0
Semi-Auto,24923.0,30.0,64.2,Diesel,2.1,31813.600000000002,11.0
Semi-Auto,11810.0,145.0,61.4,Diesel,2.1,35861.6,8.0
Semi-Auto,2000.0,145.0,57.7,Diesel,2.0,53341.600000000006,7.0
Automatic,6668.0,145.0,58.9,Diesel,2.1,45981.6,9.0
Semi-Auto,19562.0,570.0,23.5,Petrol,6.2,53341.600000000006,12.0
Semi-Auto,29201.0,30.0,64.2,Diesel,1.6,29988.32,10.0
Manual,19864.0,20.0,70.6,Diesel,2.1,27044.32,10.0
Manual,22117.0,125.0,53.3,Petrol,2.0,25756.32,10.0
Semi-Auto,43331.0,20.0,64.2,Diesel,2.1,27044.32,11.0
Semi-Auto,51929.0,145.0,53.3,Diesel,2.1,19316.32,12.0
Semi-Auto,42245.0,150.0,53.3,Diesel,2.1,22076.32,11.0
Automatic,42062.0,125.0,50.4,Petrol,2.0,28884.32,10.0
Semi-Auto,43883.0,125.0,60.1,Diesel,2.1,31276.32,11.0
Semi-Auto,36587.0,0.0,134.5,Hybrid,2.0,33116.32,10.0
Semi-Auto,42036.0,20.0,67.3,Diesel,2.1,38636.32,9.0
Semi-Auto,36538.0,30.0,65.7,Diesel,1.6,25191.440000000002,10.0
Manual,56000.0,20.0,68.9,Diesel,2.1,24823.440000000002,12.0
Semi-Auto,11986.0,150.0,48.7,Petrol,2.0,40476.32,9.0
Semi-Auto,38783.0,20.0,64.2,Diesel,2.1,26680.0,11.0
Semi-Auto,38051.0,20.0,64.2,Diesel,2.1,29421.600000000002,9.0
Semi-Auto,10542.0,125.0,51.4,Petrol,2.0,37701.6,10.0
Semi-Auto,3033.0,145.0,44.1,Petrol,1.5,38437.6,8.0
Semi-Auto,59884.0,30.0,64.2,Diesel,2.1,26661.600000000002,12.0
Semi-Auto,1871.0,145.0,44.1,Petrol,1.5,40461.6,8.0
Semi-Auto,32594.0,20.0,64.2,Diesel,2.1,27140.0,11.0
Automatic,1474.0,145.0,29.1,Petrol,3.0,82781.6,7.0
Semi-Auto,15210.0,145.0,47.1,Petrol,1.5,45429.6,7.0
Semi-Auto,49783.0,30.0,64.2,Diesel,2.1,33616.8,9.0
Automatic,7175.0,145.0,57.7,Diesel,2.0,48990.0,8.0
Semi-Auto,35034.0,125.0,53.3,Petrol,2.0,24584.24,11.0
Semi-Auto,35576.0,145.0,64.2,Diesel,2.1,32181.600000000002,9.0
Automatic,13888.0,145.0,55.4,Diesel,2.0,48625.68,7.0
Semi-Auto,4703.0,145.0,57.7,Diesel,2.0,53893.600000000006,7.0
Semi-Auto,8143.0,145.0,65.7,Diesel,2.1,42406.48,9.0
Semi-Auto,57066.0,30.0,65.7,Diesel,1.6,25062.64,11.0
Semi-Auto,25296.0,30.0,61.4,Diesel,2.1,33488.0,9.0
Semi-Auto,29907.0,145.0,64.2,Diesel,2.1,31263.440000000002,9.0
Semi-Auto,5659.0,145.0,40.4,Petrol,2.0,43236.32,8.0
Semi-Auto,23063.0,20.0,65.7,Diesel,2.1,27044.32,11.0
Semi-Auto,60948.0,150.0,54.3,Diesel,2.1,18028.32,13.0
Automatic,32769.0,30.0,64.2,Diesel,2.1,33116.32,10.0
Automatic,20949.0,145.0,61.4,Diesel,2.1,34956.32,9.0
Semi-Auto,27890.0,20.0,67.3,Diesel,2.1,38088.0,10.0
Semi-Auto,11954.0,20.0,64.2,Diesel,2.1,31261.600000000002,11.0
Semi-Auto,42879.0,145.0,53.3,Diesel,2.1,21695.440000000002,12.0
Semi-Auto,11470.0,30.0,64.2,Diesel,1.6,33471.44,11.0
Semi-Auto,26205.0,125.0,58.9,Diesel,2.1,38623.44,10.0
Semi-Auto,61305.0,150.0,65.7,Diesel,1.6,24510.64,9.0
Semi-Auto,10561.0,20.0,67.3,Diesel,2.1,40476.32,10.0
Semi-Auto,72939.0,0.0,134.5,Hybrid,2.0,29436.32,9.0
Manual,31125.0,20.0,70.6,Diesel,2.1,24836.32,11.0
Semi-Auto,37194.0,145.0,65.7,Diesel,2.1,38402.64,9.0
Semi-Auto,2240.0,145.0,44.1,Petrol,2.0,47639.44,8.0
Semi-Auto,21023.0,30.0,64.2,Diesel,2.1,37887.44,9.0
Semi-Auto,35975.0,20.0,67.3,Diesel,2.1,36783.44,10.0
Semi-Auto,55226.0,30.0,64.2,Diesel,2.1,29421.600000000002,11.0
Automatic,3686.0,145.0,54.3,Diesel,2.0,55301.200000000004,7.0
Automatic,33943.0,145.0,47.1,Petrol,2.0,39836.0,9.0
Semi-Auto,9699.0,145.0,44.1,Petrol,2.0,47821.6,8.0
Semi-Auto,25059.0,145.0,61.4,Diesel,2.1,32549.600000000002,9.0
Automatic,101.0,145.0,55.4,Diesel,2.0,56948.0,7.0
Automatic,7006.0,145.0,47.1,Petrol,1.5,45908.0,7.0
Semi-Auto,38671.0,20.0,64.2,Diesel,2.1,27596.32,11.0
Semi-Auto,19877.0,0.0,134.5,Hybrid,2.0,36428.32,9.0
Semi-Auto,7937.0,150.0,47.1,Petrol,1.5,45076.32,7.0
Semi-Auto,20027.0,150.0,60.1,Diesel,2.1,36783.44,8.0
Semi-Auto,19953.0,145.0,67.3,Diesel,2.1,40463.44,9.0
Semi-Auto,18551.0,145.0,67.3,Diesel,2.1,41567.44,8.0
Semi-Auto,14288.0,145.0,64.2,Diesel,2.1,34573.6,7.0
Automatic,10485.0,145.0,47.1,Petrol,1.5,47748.0,7.0
Semi-Auto,101.0,145.0,64.2,Diesel,2.0,55108.0,6.0
Semi-Auto,27424.0,145.0,65.7,Diesel,2.1,27581.600000000002,9.0
Automatic,2985.0,145.0,51.4,Diesel,2.0,58788.0,6.0
Semi-Auto,36051.0,30.0,65.7,Diesel,2.1,38621.6,10.0
Automatic,3458.0,145.0,46.3,Petrol,1.5,53341.600000000006,6.0
Semi-Auto,6406.0,145.0,64.2,Diesel,2.0,49680.0,7.0
Semi-Auto,65000.0,150.0,53.3,Diesel,2.1,23165.600000000002,11.0
Semi-Auto,22773.0,145.0,61.4,Diesel,2.1,38428.4,8.0
Semi-Auto,37000.0,570.0,23.5,Petrol,6.2,47628.4,12.0
Semi-Auto,30487.0,20.0,65.7,Diesel,2.1,27535.600000000002,10.0
Automatic,29814.0,20.0,65.7,Diesel,2.1,30534.800000000003,9.0
Semi-Auto,28050.0,145.0,64.2,Diesel,2.1,33009.6,8.0
Semi-Auto,18882.0,145.0,61.4,Diesel,2.1,36689.6,8.0
Semi-Auto,27034.0,30.0,65.7,Diesel,1.6,30356.32,10.0
Semi-Auto,40620.0,30.0,65.7,Diesel,1.6,26680.0,10.0
Semi-Auto,9057.0,145.0,56.5,Diesel,2.0,51135.44,7.0
Semi-Auto,7060.0,145.0,56.5,Diesel,2.0,48758.16,7.0
Semi-Auto,4615.0,145.0,54.3,Diesel,2.0,58861.600000000006,7.0
Semi-Auto,9250.0,145.0,46.3,Petrol,1.5,38638.16,8.0
Semi-Auto,1052.0,145.0,48.7,Diesel,2.0,58878.16,7.0
Semi-Auto,25149.0,145.0,51.4,Petrol,2.0,32190.800000000003,9.0
Semi-Auto,5947.0,145.0,42.2,Petrol,1.6,46910.8,7.0
Automatic,2749.0,145.0,54.3,Diesel,2.0,68070.8,7.0
Semi-Auto,7144.0,145.0,57.7,Diesel,2.0,57038.16,7.0
Semi-Auto,4843.0,145.0,57.7,Diesel,2.0,55198.16,7.0
Automatic,44641.0,30.0,64.2,Diesel,2.1,32899.200000000004,10.0
Manual,26682.0,20.0,70.6,Diesel,2.1,25134.4,10.0
Automatic,18865.0,30.0,65.7,Diesel,2.1,44012.8,10.0
Semi-Auto,21225.0,20.0,67.3,Diesel,2.1,42246.4,9.0
Semi-Auto,52519.0,30.0,64.2,Diesel,1.6,30525.600000000002,9.0
Semi-Auto,42000.0,30.0,64.2,Diesel,2.1,33101.6,9.0
Automatic,3233.0,145.0,44.1,Petrol,1.6,40976.8,7.0
Semi-Auto,28535.0,125.0,61.4,Diesel,2.1,41731.200000000004,10.0
Semi-Auto,32629.0,20.0,67.3,Diesel,2.1,41289.6,9.0
Semi-Auto,30748.0,20.0,68.9,Diesel,2.1,32788.8,10.0
Semi-Auto,17600.0,30.0,64.2,Diesel,2.1,35493.6,10.0
Semi-Auto,31360.0,20.0,64.2,Diesel,2.1,30157.600000000002,10.0
Semi-Auto,19598.0,125.0,53.3,Petrol,2.0,26588.0,10.0
Automatic,28192.0,30.0,64.2,Diesel,2.1,31740.0,10.0
Semi-Auto,38087.0,20.0,67.3,Diesel,2.1,36229.6,10.0
Semi-Auto,23523.0,125.0,60.1,Diesel,2.1,35420.0,9.0
Automatic,7716.0,145.0,45.6,Petrol,1.5,40443.200000000004,7.0
Automatic,1647.0,145.0,45.6,Petrol,1.5,44141.6,7.0
Semi-Auto,5572.0,145.0,45.6,Petrol,1.5,40443.200000000004,7.0
Automatic,101.0,145.0,61.4,Diesel,2.0,51501.600000000006,7.0
Semi-Auto,66796.0,0.0,74.3,Hybrid,2.1,31276.32,11.0
Semi-Auto,41056.0,20.0,67.3,Diesel,2.1,36244.32,10.0
Manual,32140.0,20.0,68.9,Diesel,2.1,28516.32,11.0
Semi-Auto,1500.0,145.0,28.0,Petrol,4.0,125118.16,6.0
Semi-Auto,1500.0,145.0,46.3,Petrol,1.5,64398.16,6.0
Semi-Auto,12249.0,150.0,49.6,Petrol,2.0,39190.16,10.0
Semi-Auto,37564.0,0.0,134.5,Hybrid,2.0,33118.16,9.0
Semi-Auto,14360.0,150.0,46.3,Petrol,1.5,36798.16,7.0
Semi-Auto,10288.0,150.0,47.9,Petrol,2.0,40478.16,9.0
Semi-Auto,43236.0,30.0,61.4,Diesel,2.1,32566.16,10.0
Semi-Auto,33113.0,20.0,65.7,Diesel,2.1,26827.2,10.0
Semi-Auto,19784.0,145.0,42.2,Petrol,2.0,44141.6,9.0
Automatic,1610.0,145.0,57.7,Diesel,2.0,52734.4,7.0
Semi-Auto,31326.0,125.0,60.1,Diesel,2.1,35861.6,9.0
Semi-Auto,32790.0,20.0,67.3,Diesel,2.1,40056.8,9.0
Semi-Auto,11728.0,145.0,56.5,Diesel,2.0,47821.6,7.0
Automatic,6282.0,145.0,54.3,Diesel,2.0,52734.4,7.0
Semi-Auto,41131.0,30.0,65.7,Diesel,2.1,41565.6,9.0
Automatic,14052.0,145.0,65.7,Diesel,2.1,41896.8,9.0
Automatic,44929.0,30.0,64.2,Diesel,2.1,30323.2,11.0
Semi-Auto,10579.0,145.0,54.3,Diesel,2.0,50964.32,8.0
Semi-Auto,30536.0,150.0,50.4,Petrol,2.0,30358.16,9.0
Semi-Auto,10985.0,145.0,46.3,Petrol,1.5,36606.8,7.0
Semi-Auto,11480.0,145.0,56.5,Diesel,2.0,50774.8,7.0
Semi-Auto,12986.0,145.0,58.9,Diesel,2.0,47462.8,7.0
Semi-Auto,3984.0,145.0,44.1,Petrol,1.5,45078.16,7.0
Semi-Auto,8771.0,145.0,44.1,Petrol,2.0,56110.8,7.0
Semi-Auto,1683.0,145.0,55.4,Diesel,2.0,55198.16,7.0
Semi-Auto,16347.0,145.0,57.7,Diesel,2.0,50590.8,8.0
Manual,6959.0,145.0,46.3,Petrol,1.6,40102.8,7.0
Automatic,50591.0,160.0,46.3,Petrol,1.6,18181.04,13.0
Manual,14480.0,125.0,53.3,Petrol,2.0,24836.32,11.0
Semi-Auto,10471.0,145.0,64.2,Diesel,2.0,44988.0,7.0
Semi-Auto,37000.0,30.0,64.2,Diesel,2.1,32108.0,11.0
Semi-Auto,34000.0,20.0,65.7,Diesel,2.1,26588.0,10.0
Semi-Auto,22369.0,145.0,61.4,Diesel,2.1,45981.6,9.0
Semi-Auto,29286.0,20.0,64.2,Diesel,2.1,30249.600000000002,11.0
Semi-Auto,52500.0,125.0,57.7,Diesel,2.1,18199.440000000002,12.0
Semi-Auto,26273.0,125.0,52.3,Petrol,2.0,31276.32,11.0
Semi-Auto,48123.0,30.0,64.2,Diesel,2.1,30746.4,11.0
Automatic,19779.0,145.0,67.3,Diesel,2.1,41390.8,9.0
Automatic,39447.0,145.0,47.1,Petrol,2.0,39679.6,9.0
Semi-Auto,28272.0,145.0,47.1,Petrol,2.0,39922.48,9.0
Semi-Auto,20972.0,30.0,64.2,Diesel,2.1,38621.6,10.0
Semi-Auto,21745.0,125.0,53.3,Petrol,2.0,27176.800000000003,10.0
Semi-Auto,31878.0,20.0,65.7,Diesel,2.1,24744.32,11.0
Semi-Auto,34382.0,30.0,64.2,Diesel,2.1,29436.32,12.0
Semi-Auto,12170.0,145.0,54.3,Diesel,2.0,50596.32,8.0
Semi-Auto,24111.0,0.0,134.5,Hybrid,2.0,35876.32,10.0
Semi-Auto,22888.0,20.0,67.3,Diesel,2.1,41396.32,9.0
Automatic,14965.0,30.0,64.2,Diesel,2.1,36993.200000000004,10.0
Semi-Auto,45868.0,20.0,65.7,Diesel,2.1,26164.800000000003,10.0
Semi-Auto,27637.0,30.0,64.2,Diesel,2.1,40958.4,9.0
Semi-Auto,32475.0,30.0,64.2,Diesel,2.1,31261.600000000002,12.0
Automatic,151.0,145.0,29.7,Petrol,3.0,77059.2,7.0
Automatic,151.0,145.0,55.4,Diesel,2.0,57021.600000000006,7.0
Automatic,7324.0,145.0,46.3,Petrol,1.5,53139.200000000004,7.0
Automatic,2501.0,145.0,64.2,Diesel,2.0,53341.600000000006,7.0
Semi-Auto,33237.0,125.0,58.9,Diesel,2.1,34408.0,10.0
Semi-Auto,63019.0,125.0,61.4,Diesel,2.1,32089.600000000002,9.0
Semi-Auto,27306.0,20.0,64.2,Diesel,2.1,32696.800000000003,10.0
Semi-Auto,34278.0,145.0,61.4,Diesel,2.1,33916.72,9.0
Semi-Auto,26600.0,20.0,67.3,Diesel,2.1,39449.6,10.0
